Data.Date,Demand..MW.
2017-01-25,17901.625
2017-01-26,17713.875
2017-01-27,17939.625
2017-01-28,17068.75
2017-01-29,16654.625
2017-01-30,18518.875
2017-01-31,19167.125
2017-02-01,18345.416666666668
2017-02-02,18340.25
2017-02-03,18802.041666666668
2017-02-04,17810.583333333332
2017-02-05,17213.333333333332
2017-02-06,17948.083333333332
2017-02-07,18328.5
2017-02-08,17429.416666666668
2017-02-09,18793.916666666668
2017-02-10,19314.791666666668
2017-02-11,17262.416666666668
2017-02-12,17401.958333333332
2017-02-13,18609.458333333332
2017-02-14,18318.75
2017-02-15,18059.791666666668
2017-02-16,18533.375
2017-02-17,18198.166666666668
2017-02-18,16143.25
2017-02-19,15107.291666666666
2017-02-20,16303.541666666666
2017-02-21,17305.833333333332
2017-02-22,16714.375
2017-02-23,16386.333333333332
2017-02-24,16092.541666666666
2017-02-25,15140.291666666666
2017-02-26,15846.541666666666
2017-02-27,17229.666666666668
2017-02-28,16764.666666666668
2017-03-01,16509.583333333332
2017-03-02,17081.75
2017-03-03,18055.25
2017-03-04,17951.666666666668
2017-03-05,17807.583333333332
2017-03-06,18133.708333333332
2017-03-07,17401.583333333332
2017-03-08,16512.583333333332
2017-03-09,16598.041666666668
2017-03-10,17995.625
2017-03-11,18318.625
2017-03-12,18056.260869565216
2017-03-13,19084.625
2017-03-14,18680.791666666668
2017-03-15,19316.208333333332
2017-03-16,18810.833333333332
2017-03-17,17930.625
2017-03-18,17087.625
2017-03-19,16114.0
2017-03-20,17366.625
2017-03-21,16888.291666666668
2017-03-22,17742.791666666668
2017-03-23,18116.208333333332
2017-03-24,17492.875
2017-03-25,16018.958333333334
2017-03-26,16030.0
2017-03-27,17122.791666666668
2017-03-28,17115.041666666668
2017-03-29,16586.041666666668
2017-03-30,16913.833333333332
2017-03-31,17500.625
2017-04-01,16164.708333333334
2017-04-02,15043.958333333334
2017-04-03,16300.833333333334
2017-04-04,16729.0
2017-04-05,16482.166666666668
2017-04-06,17084.75
2017-04-07,17024.166666666668
2017-04-08,15531.625
2017-04-09,14603.833333333334
2017-04-10,15827.833333333334
2017-04-11,15970.333333333334
2017-04-12,16053.791666666666
2017-04-13,15704.0
2017-04-14,15219.333333333334
2017-04-15,14398.833333333334
2017-04-16,14287.625
2017-04-17,15805.875
2017-04-18,15562.583333333334
2017-04-19,15977.416666666666
2017-04-20,15993.666666666666
2017-04-21,15931.291666666666
2017-04-22,14816.458333333334
2017-04-23,14129.625
2017-04-24,15622.833333333334
2017-04-25,16076.291666666666
2017-04-26,15256.333333333334
2017-04-27,16164.333333333334
2017-04-28,16265.541666666666
2017-04-29,15602.458333333334
2017-04-30,14528.041666666666
2017-05-01,16012.458333333334
2017-05-02,16299.75
2017-05-03,15716.25
2017-05-04,15704.5
2017-05-05,16095.5
2017-05-06,14648.25
2017-05-07,14361.125
